text,likes,comments,shares
"This is the moment a chimpanzee mum met her newborn for the first time. 
Mahle the chimp gave birth via C-section earlier this week at a zoo in Wichita, Kansas.

Her infant son needed medical treatment before he could reunite with his mum.

More on chimpanzees' human-like reactions: https://bbc.in/3TT1Dyt",63000,3800,13000
"""Cleaning up after football matches is an extension of basic behaviours that are taught in school.""

BBC.COM
Japan fans clean up stadium after World Cup win over Germany",105000,3900,7300
"""An incredible human being and revered musician who was loved universally.""

BBC.COM
Fleetwood Mac singer-songwriter Christine McVie dies aged 79, family says",6178,2100,5700
"One of the young filmmakers said they wanted to create something with the message ""Christmas is made, not bought"".

BBC.COM
'Santa's poorly' Christmas ad goes viral",14395,1600,5400
What's it like to spend the night in the World Cup 2022 fan village in Qatar? 鈿?23000,6400,4800,
This baby elephant interrupted a TV report in Kenya.,15000,845,3800
"Sarah Sands stabbed a convicted paedophile to death, after he abused her three sons.",29000,4500,2800
"A plumber working in a UK house could not believe his eyes when he cut a hole in floorboards and found the Victorian time capsule.

BBC.COM
135-year-old message in a bottle found under floorboards",42000,1800,2200
"""She was a beautifully gifted soul whose legacy will live forever through her music and films.""

BBC.COM
Fame and Flashdance singer Irene Cara dies aged 63",2939,1000,2100
"""You're gonna need a bigger bowl.""

BBC.COM
Angler catches giant 30kg goldfish",18000,2600,2000
"Alcohol will not be sold at the World Cup's eight stadiums in Qatar, Fifa has announced, two days before the tournament starts.

BBC.COM
Alcohol sales banned at World Cup stadiums in Qatar",29000,8700,1900
"The deaths include five children under the age of 10 in England.

BBC.COM
Six children die with Strep A bacterial infection in England and Wales",2177,1000,1600
"The idea of growing a baby in an artificial environment outside of the body has always been considered in the realms of science fiction.

BBC.COM
What if women never had to give birth again?",13136,7500,1600
"Four-time World Cup winners Germany have been beaten by Japan for the first time.

BBC.COM
Japan beats Germany for first time in shock World Cup opener",38000,3300,1600
"Umesh Kumar Yadav was one of the millions of South Asian migrants who went to work in Qatar to help build infrastructure ahead of the World Cup.

Now his family are seeking answers over his unexplained death.",9800,1200,1500
"This is expected to be 35-year-old Lionel Messi's last World Cup, with Argentina a favourite to win the competition.

BBC.COM
Saudi Arabia beat Argentina in shock World Cup result",30000,3100,1500
"Mahle the chimp met her baby for the first time after giving birth via C-section earlier this week.

BBC.CO.UK
The emotional moment a chimpanzee mum reunites with her newborn",11000,688,1400
"The club thanked the Portugal forward ""for his immense contribution across two spells at Old Trafford"".

BBC.COM
Cristiano Ronaldo to leave Manchester United with immediate effect",17000,2300,1300
"Health officials have said parents should be aware of the infection, after children in the UK died from it.

BBC.COM
What is Strep A and why can it be dangerous?",935,561,1200
"What is the safe and legal route for a 16-year-old orphan escaping an African warzone to join their sibling who is legally in the UK?

UK Home Secretary Suella Braverman struggles to answer Conservative MP Tim Loughton.

https://bbc.in/3TXJlMt

[Via BBC Politics]",3600,1100,1100
"""Doddie was an inspirational force of nature,"" his family said in a statement.

BBC.COM
Scotland rugby legend Doddie Weir dies after MND battle",2038,1100,1000
"Empathy is often seen as a positive, desirable trait, but researchers have found that being too empathetic can lead to exhaustion, apathy and even cruelty.

BBC.COM
The surprising dark side of empathy",6500,733,1000
"The ship had travelled more than 2,700 nautical miles from Nigeria to Spain.

BBC.COM
Stowaways found on rudder after ship's 11-day voyage",7291,2100,1000
"This is the world鈥檚 biggest volcano, Mauna Loa, erupting in spectacular style.",2701,351,1000
"""I knew from the start that Flossie was a special cat."" 

BBC.COM
26-year-old cat sets new record as world oldest",20000,1300,1000
"Japan's shock win against Spain meant Germany's journey was over for the second World Cup in a row.

BBC.COM
Germany out of World Cup despite win over Costa Rica",24311,4300,1000
"""Denying us the armband is the same as denying us a voice. We stand by our position.""

BBC.COM
Germany players cover mouths to protest Fifa OneLove armband sanction",25000,5600,959
"The robots are ""very happy to wait in a queue - they are in England after all"".

BBC.COM
Delivery robots form orderly queue at traffic lights",8544,1000,878
"Yusuf scored the highest possible Mensa test score for under 18s.

BBC.COM
11-year-old beats Stephen Hawking's IQ score",17000,955,836
"The 37-year-old became the second-oldest goalscorer in World Cup history, as Portugal beat Ghana in their opening game.

BBC.COM
Cristiano Ronaldo becomes first man to score at five World Cups",29000,2400,773
"鈥淲e want freedom!鈥?
Protesters have called for China's President Xi to resign as demonstrations over Covid restrictions intensify.",1845,401,768
"""You invited the whole world to come here, why can't we film?""

Watch the moment security staff in Qatar tried to stop a TV reporter during a live broadcast ahead of the World Cup.",4000,1800,768
